"Effectors" "cell-death-positive" "cell-death-negative" "p-value" "perc_pos"
"1" "AAAD36E" 9 125 1 6.71641791044776
"2" "AvrE1" 9 2 3.90050755463258e-08 99.2537313432836
"3" "AvrPto" 1 10 0.557642300492896 0
"4" "AvrPtoB" 4 5 0.004126222202088 0
"5" "HopA1" 0 10 1 0
"6" "HopAA1-1" 0 10 1 9.09090909090909
"7" "HopAA1-2" 1 8 0.489417978678368 27.2727272727273
"8" "HopAD1" 4 7 0.00921671283853908 81.8181818181818
"9" "HopAF1" 3 5 0.0205370545466965 81.8181818181818
"10" "HopAM1" 7 2 1.74829542068163e-06 9.09090909090909
"11" "HopAO1" 4 5 0.004126222202088 90
"12" "HopB1" 0 10 1 52.6315789473684
"13" "HopD1" 2 7 0.143911347708843 0
"14" "HopE1" 1 8 0.489417978678368 0
"15" "HopF2" 7 1 4.33565673242292e-07 10
"16" "HopG1" 4 5 0.004126222202088 0
"17" "HopH1" 0 11 1 22.2222222222222
"18" "HopI1" 1 10 0.557642300492896 11.1111111111111
"19" "HopK1" 3 8 0.0492610637459266 87.5
"20" "HopM1" 9 2 3.90050755463258e-08 44.4444444444444
"21" "HopN1" 9 1 8.03930409339821e-09 0
"22" "HopO1-1" 0 9 1 11.1111111111111
"23" "HopQ1-1" 1 8 0.489417978678368 11.1111111111111
"24" "HopR1" 10 9 3.45470894003369e-06 44.4444444444444
"25" "HopT1-1" 2 8 0.170304215352348 37.5
"26" "HopU1" 7 3 5.22685121078155e-06 77.7777777777778
"27" "HopV1" 0 10 1 44.4444444444444
"28" "HopX1" 0 10 1 36.3636363636364
"29" "HopY1" 1 9 0.52487506349237 20
"30" "ZZZDC3000" 133 1 5.45242863976543e-64 70
