"Effectors" "cell-death-positive" "cell-death-negative" "p-value" "perc_pos"
"1" "AAAD36E" 7 127 1 5.22388059701492
"2" "AvrE1" 9 2 9.43857531210588e-09 81.8181818181818
"3" "AvrPto" 0 11 1 0
"4" "AvrPtoB" 3 6 0.0167649075120572 33.3333333333333
"5" "HopA1" 0 10 1 0
"6" "HopAA1-1" 0 10 1 0
"7" "HopAA1-2" 1 8 0.413560078367725 11.1111111111111
"8" "HopAD1" 3 8 0.0293408193672698 27.2727272727273
"9" "HopAF1" 1 7 0.378808083011739 12.5
"10" "HopAM1" 6 3 1.17920928325864e-05 66.6666666666667
"11" "HopAO1" 4 5 0.00202329125735746 44.4444444444444
"12" "HopB1" 0 10 1 0
"13" "HopD1" 1 8 0.413560078367725 11.1111111111111
"14" "HopE1" 1 8 0.413560078367725 11.1111111111111
"15" "HopF2" 6 2 4.28999804647969e-06 75
"16" "HopG1" 2 7 0.100792120163846 22.2222222222222
"17" "HopH1" 0 11 1 0
"18" "HopI1" 0 11 1 0
"19" "HopK1" 0 11 1 0
"20" "HopM1" 9 2 9.43857531210588e-09 81.8181818181818
"21" "HopN1" 7 3 1.63300614306688e-06 70
"22" "HopO1-1" 0 9 1 0
"23" "HopQ1-1" 0 9 1 0
"24" "HopR1" 9 10 6.69864877639774e-06 47.3684210526316
"25" "HopT1-1" 0 10 1 0
"26" "HopU1" 4 6 0.00314938694348036 40
"27" "HopV1" 0 10 1 0
"28" "HopX1" 0 10 1 0
"29" "HopY1" 0 10 1 0
"30" "ZZZDC3000" 131 3 5.02605677083547e-63 97.7611940298508
